id,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2016001,Pokemon Sun/Moon,3DS,2016,Role-Playing,Nintendo,2.98,1.45,2.26,0,7.14
1998003,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0,7.13
2014004,Mario Kart 8,WiiU,2014,Racing,Nintendo,3.15,2.15,1.28,1,7.09
2001003,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0,7.07
2003001,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4.12,1.77,0.87,0,6.95
2004005,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1,6.90
2002002,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,1,6.83
1996003,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0,6.82
2012007,Just Dance 4,Wii,2012,Misc,Ubisoft,4.05,2.16,0.00,1,6.76
2008006,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.15,1.90,0.06,1,6.75
2011008,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2.77,2.75,0.19,1,6.74
2010009,Zumba Fitness,Wii,2010,Sports,505 Games,3.45,2.59,0.00,1,6.71
2007007,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3.11,2.26,0.28,1,6.68
2009008,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3.27,2.20,0.21,1,6.66
2011009,FIFA 12,PS3,2011,Sports,Electronic Arts,0.84,4.30,0.11,1,6.65
2005006,Big Brain Academy,DS,2005,Misc,Nintendo,1.66,2.75,1.60,1,6.62
1986000,The Legend of Zelda,NES,1986,Action,Nintendo,3.74,0.93,1.69,0,6.51
20100010,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.79,2.53,0.17,1,6.49
2013006,FIFA 14,PS3,2013,Sports,Electronic Arts,0.78,4.24,0.07,1,6.47
2012008,Assassin's Creed III,PS3,2012,Action,Ubisoft,2.64,2.52,0.16,1,6.45
20100011,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.17,1.79,1.03,0,6.44
2001004,Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,4.98,1.30,0.08,0,6.43
20110010,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2.55,2.60,0.25,1,6.41
2004006,Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0,6.41
2002003,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.20,1.49,0,6.40
2000000,Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo,2.55,1.56,1.29,1,6.39
2009009,Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,4.34,1.34,0.06,1,6.34
20100012,Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3.70,1.95,0.09,1,6.32
2002004,Super Mario Sunshine,GC,2002,Platform,Nintendo,4.01,1.26,0.87,0,6.31
1992002,Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,2.47,0.83,2.87,0,6.30
2004007,World of Warcraft,PC,2004,Role-Playing,Activision,0.08,6.21,0.00,0,6.29
1999003,Driver,PS,1999,Action,GT Interactive,3.11,2.80,0.02,0,6.27
20110011,Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,4.05,1.59,0.07,0,6.21
20100013,Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3.92,1.73,0.03,1,6.19
2006005,Gears of War,X360,2006,Shooter,Microsoft Game Studios,3.54,1.88,0.07,1,6.09
2014005,FIFA 15,PS4,2014,Sports,Electronic Arts,0.80,4.33,0.05,1,6.08
2001005,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,1,6.05
1992003,Sonic the Hedgehog 2,GEN,1992,Platform,Sega,4.47,1.20,0.16,0,6.03
1998004,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0,6.03
2008007,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,2.63,1.71,0.83,1,5.99
